,Required Contest titles,Filipino,Filipino Short Name for Edge review (24 characters max),English Short Name for Edge review (24 characters max),Chinese,Spanish,Spanish Short Name for Edge review (24 characters max),Vote-for #,
,ATTORNEY GENERAL,Pangkalahatang Abugado,,ATTORNEY GENERAL,司法部長,PROCURADOR GENERAL,PROCURADOR GENERAL,1,
,Party Preference:,,,,政黨傾向：,Preferencia por partido:,,,
,Vote for One,,,,選一名,Vote por uno,,,
,,,,,,,,,
,INSURANCE COMMISSIONER,Komisyonado ng Seguro,,INSURANCE COMMISSIONER,保險部長,COMISIONADO DE SEGUROS,COMISIONADO DE SEGUROS,1,
,Party Preference:,,,,政黨傾向：,Preferencia por partido:,,,
,Vote for One,,,,選一名,Vote por uno,,,
,,,,,,,,,
,"MEMBER, STATE BOARD OF EQUALIZATION, DISTRICT 2","Miyembro, Lupon ng Tagasingil ng Buwis ng Estado Distrito 2",,BOARD OF EQUALIZATION D2,州平稅局第2選區成員,"MIEMBRO, DIRECTIVA ESTATAL DE IMPUESTOS SOBRE VENTAS, USO, Y OTROS, DISTRITO 2",DIRECTIVA IGUALACIÓN,1,
,Party Preference:,,,,政黨傾向：,Preferencia por partido:,,,
,Vote for One,,,,選一名,Vote por uno,,,
,,,,,,,,,
,VOTER-NOMINATED OFFICES,,,,選民提名職位,CARGOS NOMINADOS POR LOS ELECTORES,,,
,FEDERAL,,,,聯邦,FEDERAL,,,
,,,,,,,,,
,UNITED STATES SENATOR,Senador ng Estados Unidos,,UNITED STATES SENATOR,美國參議員,SENADOR DE ESTADOS UNIDOS,SENADOR DE EE.UU.,1,
,Party Preference:,,,,政黨傾向：,Preferencia por partido:,,,
,Vote for One,,,,選一名,Vote por uno,,,
,,,,,,,,,
,UNITED STATES REPRESENTATIVE,Kinatawan ng Estados Unidos,,U.S. REPRESENTATIVE,美國眾議員,REPRESENTANTE DE ESTADOS UNIDOS ,REPRESENTANTE DE EE.UU.,1,
,DISTRICT 12,Distrito 12,,,第12選區,DISTRITO 12,,,
,Party Preference:,,,,政黨傾向：,Preferencia por partido:,,,
,Vote for One,,,,選一名,Vote por uno,,,
,,,,,,,,,
,UNITED STATES REPRESENTATIVE,Kinatawan ng Estados Unidos,,U.S. REPRESENTATIVE,美國眾議員,REPRESENTANTE DE ESTADOS UNIDOS,REPRESENTANTE DE EE.UU.,1,
,DISTRICT 14,Distrito 14,,,第14選區,DISTRITO 14,,,
,Party Preference:,,,,政黨傾向：,Preferencia por partido:,,,
,Vote for One,,,,選一名,Vote por uno,,,
,,,,,,,,,
,VOTER-NOMINATED OFFICES,,,,選民提名職位,CARGOS NOMINADOS POR LOS ELECTORES,,,
,STATE,,,,州,ESTADO,,,
,STATE SENATOR,Senador ng Estado,,STATE SENATOR,州參議員,SENADOR ESTATAL,SENADOR ESTATAL,1,
,DISTRICT 11,Distrito 11,,,第11選區,DISTRITO 11,,,
,Party Preference:,,,,政黨傾向：,Preferencia por partido:,,,
,Vote for One,,,,選一名,Vote por uno,,,
,,,,,,,,,
,MEMBER OF THE STATE ASSEMBLY,Miyembro ng Asembleya ng Estado,,"MEMBER, STATE ASSEMBLY",州眾議員,MIEMBRO DE LA ASAMBLEA DEL ESTADO,ASAMBLEA DEL ESTADO,1,
,DISTRICT 17,Distrito 17,,,第17選區,DISTRITO 17,,,
,Party Preference:,,,,政黨傾向：,Preferencia por partido:,,,
,Vote for One,,,,選一名,Vote por uno,,,
,,,,,,,,,
,MEMBER OF THE STATE ASSEMBLY,Miyembro ng Asembleya ng Estado,,"MEMBER, STATE ASSEMBLY",州眾議員,MIEMBRO DE LA ASAMBLEA DEL ESTADO,ASAMBLEA DEL ESTADO,1,
,DISTRICT 19,Distrito 19,,,第19選區,DISTRITO 19,,,
,Party Preference:,,,,政黨傾向：,Preferencia por partido:,,,
,Vote for One,,,,選一名,Vote por uno,,,
,,,,,,,,,
,CITY AND COUNTY,,,,市縣,CIUDAD Y CONDADO,,,
,,,,,,,,,
no member character in chi,"MEMBER, COUNTY CENTRAL COMMITTEE",,,COUNTY CENTRAL COMMITTEE,縣中央委員會委員,"MIEMBRO, COMITÉ CENTRAL DEL CONDADO",COMITÉ CENTRAL CONDADO,varies,
state character chi,ASSEMBLY DISTRICT 17,,,,州眾議院第17選區,DISTRITO 17 DE LA ASAMBLEA,,,
,Vote for no more than X,,,,選不超過X名,Vote por no más de x,,,
,,,,,,,,,
,"MEMBER, COUNTY CENTRAL COMMITTEE,",,,COUNTY CENTRAL COMMITTEE,縣中央委員會委員,"MIEMBRO, COMITÉ CENTRAL DEL CONDADO,",COMITÉ CENTRAL CONDADO,varies,
,ASSEMBLY DISTRICT 19,,,,州眾議院第19選區,DISTRITO 19 DE LA ASAMBLEA,,,
,Vote for no more than X,,,,選不超過X名,Vote por no más de x,,,
,,,,,,,,,
"Peace & Freedom Party, elected at large)","MEMBER, COUNTY CENTRAL COMMITTEE ",,,COUNTY CENTRAL COMMITTEE,縣中央委員會委員,"MIEMBRO, COMITÉ CENTRAL DEL CONDADO",COMITÉ CENTRAL CONDADO,varies,
,Vote for no more than X,,,,選不超過X名,Vote por no más de x,,,
,,,,,,,,,
Green Party,"MEMBER, COUNTY COUNCIL",,,COUNTY COUNCIL,縣委員會委員,"MIEMBRO, CONSEJO DEL CONDADO",CONSEJO CONDADO,varies,
,Vote for no more than X,,,,選不超過X名,Vote por no más de x,,,
,,,,,,,,,
,JUDICIAL,,,,司法,JUDICIAL,,,
,"JUDGE OF THE SUPERIOR COURT,",,,SUPERIOR COURT JUDGE #X,高等法院法官，,"JUEZ DEL TRIBUNAL SUPERIOR,","JUEZ, CORTE SUPERIOR X",1,
,OFFICE NO. X,,,,第X席,OFICINA NÚM. X,,,
,Vote for One,,,,選一名,Vote por uno,,,
,,,,,,,,,
,SCHOOL,,,,學校,ESCUELA,,,
,SUPERINTENDENT OF PUBLIC INSTRUCTION,Superintendente ng Pampublikong Pagtuturo,,SUP OF PUBLIC INSTRUCTN,教育部長,SUPERINTENDENTE DE INSTRUCCIÓN PÚBLICA,SUPERINT. INSTRUCC. PÚB.,1,
,Vote for One,,,,選一名,Vote por uno,,,
,,,,,,,,,
,"MEMBER, BOARD OF EDUCATION",,,BOARD OF EDUCATION,教育委員會成員,"MIEMBRO, CONSEJO DE EDUCACIÓN",CONSEJO DE EDUCACIÓN,"varies, 3 or 4",
,Vote for no more than (Three or Four),,,,選不超過X名,Vote por no más de x,,,
,,,,,,,,,
,"MEMBER, COMMUNITY COLLEGE BOARD",,,COMMUNITY COLLEGE BOARD,社區大學董事會成員,"MIEMBRO, CONSEJO DEL COLEGIO COMUNITARIO",CONSEJO COLEGIO COMUNIT.,"varies, 3 or 4",
,Vote for no more than (Three or Four),,,,選不超過X名,Vote por no más de x,,,
,,,,,,,,,
,DISTRICT,,,,區,DISTRITO,,,
,BART DIRECTOR,,,BART DIRECTOR DIST. 7,"灣區捷運董事, ",DIRECTOR DE BART,DIRECTOR BART,1,
,DISTRICT 7,,,,第7選區,DISTRITO 7,,,
,Vote for One,,,,選一名,Vote por uno,,,
,,,,,,,,,
,BART DIRECTOR,,,BART DIRECTOR DIST. 8,"灣區捷運董事, ",DIRECTOR DE BART,DIRECTOR BART,1,
,DISTRICT 8,,,, 第8選區,DISTRITO 8,,,
,Vote for One,,,,選一名,Vote por uno,,,
,,,,,,,,,
,BART DIRECTOR,,,BART DIRECTOR DIST. 9,"灣區捷運董事, ",DIRECTOR DE BART,DIRECTOR BART,1,
,DISTRICT 9,,,,第9選區,DISTRITO 9,,,
,Vote for One,,,,選一名,Vote por uno,,,
,,,,,,,,,
,CITY AND COUNTY,,,,市縣,CIUDAD Y CONDADO,,,
,"Vote your first, second, and third choices",,,,投選您的第一、第二和第三選擇,"Vote por su primera, segunda y tercera preferencias",,,
,,,,,,,,,
,MAYOR,,,MAYOR,市長,ALCALDE,ALCALDE,1,
,FIRST CHOICE,,,,第一選擇,PRIMERA PREFERENCIA,,,
,Vote for One,,,,選一名,Vote por uno,,,
,SECOND CHOICE,,,,第二選擇,SEGUNDA PREFERENCIA,,,
,Vote for One: Must be different than your first choice,,,,選一名： 必須與第一個選擇不同,Vote por uno: Tiene que ser diferente a su primera preferencia,,,
,THIRD CHOICE,,,,第三選擇,TERCERA PREFERENCIA,,,
,Vote for One: Must be different than your first and second choices,,,,選一名： 必須與第一個和第二個選擇不同,Vote por uno: Tiene que ser diferente a su primera y segunda preferencias,,,
,,,,,,,,,
,ASSESSOR-RECORDER,,,ASSESSOR-RECORDER,估值官-記錄官,TASADOR-REGISTRADOR,TASADOR-REGISTRADOR,1,
,FIRST CHOICE,,,,第一選擇,PRIMERA PREFERENCIA,,,
,Vote for One,,,,選一名,Vote por uno,,,
,SECOND CHOICE,,,,第二選擇,SEGUNDA PREFERENCIA,,,
,Vote for One: Must be different than your first choice,,,,選一名： 必須與第一個選擇不同,Vote por uno: Tiene que ser diferente a su primera preferencia,,,
,THIRD CHOICE,,,,第三選擇,TERCERA PREFERENCIA,,,
,Vote for One: Must be different than your first and second choices,,,,選一名： 必須與第一個選擇不同,Vote por uno: Tiene que ser diferente a su primera y segunda preferencias,,,
,,,,,,,,,
,CITY ATTORNEY,,,CITY ATTORNEY,市府律師,ABOGADO DE LA CIUDAD,ABOGADO DE LA CIUDAD,1,
,FIRST CHOICE,,,,第一選擇,PRIMERA PREFERENCIA,,,
,Vote for One,,,,選一名,Vote por uno,,,
,SECOND CHOICE,,,,第二選擇,SEGUNDA PREFERENCIA,,,
,Vote for One: Must be different than your first choice,,,,選一名： 必須與第一個選擇不同,Vote por uno: Tiene que ser diferente a su primera preferencia,,,
,THIRD CHOICE,,,,第三選擇,TERCERA PREFERENCIA,,,
,Vote for One: Must be different than your first and second choices,,,,選一名： 必須與第一個和第二個選擇不同,Vote por uno: Tiene que ser diferente a su primera y segunda preferencias,,,
,,,,,,,,,
,DISTRICT ATTORNEY,,,DISTRICT ATTORNEY,地方檢察官,FISCAL DEL DISTRITO,FISCAL DEL DISTRITO,1,
,FIRST CHOICE,,,,第一選擇,PRIMERA PREFERENCIA,,,
,Vote for One,,,,選一名,Vote por uno,,,
,SECOND CHOICE,,,,第二選擇,SEGUNDA PREFERENCIA,,,
,Vote for One: Must be different than your first choice,,,,選一名： 必須與第一個選擇不同,Vote por uno: Tiene que ser diferente a su primera preferencia,,,
,THIRD CHOICE,,,,第三選擇,TERCERA PREFERENCIA,,,
,Vote for One: Must be different than your first and second choices,,,,選一名： 必須與第一個和第二個選擇不同,Vote por uno: Tiene que ser diferente a su primera y segunda preferencias,,,
,,,,,,,,,
,PUBLIC DEFENDER,,,PUBLIC DEFENDER,公共辯護律師,DEFENSOR PÚBLICO,DEFENSOR PÚBLICO,1,
,FIRST CHOICE,,,,第一選擇,PRIMERA PREFERENCIA,,,
,Vote for One,,,,選一名,Vote por uno,,,
,SECOND CHOICE,,,,第二選擇,SEGUNDA PREFERENCIA,,,
,Vote for One: Must be different than your first choice,,,,選一名： 必須與第一個選擇不同,Vote por uno: Tiene que ser diferente a su primera preferencia,,,
,THIRD CHOICE,,,,第三選擇,TERCERA PREFERENCIA,,,
,Vote for One: Must be different than your first and second choices,,,,選一名： 必須與第一個和第二個選擇不同,Vote por uno: Tiene que ser diferente a su primera y segunda preferencias,,,
,,,,,,,,,
,SHERIFF,,,SHERIFF,縣警長,ALGUACIL,ALGUACIL,1,
,FIRST CHOICE,,,,第一選擇,PRIMERA PREFERENCIA,,,
,Vote for One,,,,選一名,Vote por uno,,,
,SECOND CHOICE,,,,第二選擇,SEGUNDA PREFERENCIA,,,
,Vote for One: Must be different than your first choice,,,,選一名： 必須與第一個選擇不同,Vote por uno: Tiene que ser diferente a su primera preferencia,,,
,THIRD CHOICE,,,,第三選擇,TERCERA PREFERENCIA,,,
,Vote for One: Must be different than your first and second choices,,,,選一名： 必須與第一個和第二個選擇不同,Vote por uno: Tiene que ser diferente a su primera y segunda preferencias,,,
,,,,,,,,,
,TREASURER,,,TREASURER,財政官,TESORERO,TESORERO,1,
,FIRST CHOICE,,,,第一選擇,PRIMERA PREFERENCIA,,,
,Vote for One,,,,選一名,Vote por uno,,,
,SECOND CHOICE,,,,第二選擇,SEGUNDA PREFERENCIA,,,
,Vote for One: Must be different than your first choice,,,,選一名： 必須與第一個選擇不同,Vote por uno: Tiene que ser diferente a su primera preferencia,,,
,THIRD CHOICE,,,,第三選擇,TERCERA PREFERENCIA,,,
,Vote for One: Must be different than your first and second choices,,,,選一名： 必須與第一個和第二個選擇不同,Vote por uno: Tiene que ser diferente a su primera y segunda preferencias,,,
,,,,,,,,,
,"MEMBER, BOARD OF SUPERVISORS",,,BOARD OF SUPERVISORS D1,市參議員,"MIEMBRO, CONSEJO DE SUPERVISORES",CONSEJO SUPERVISORES,1,
,DISTRICT 1,,,,第1選區,DISTRITO 1,,,
,FIRST CHOICE,,,,第一選擇,PRIMERA PREFERENCIA,,,
,Vote for One,,,,選一名,Vote por uno,,,
,SECOND CHOICE,,,,第二選擇,SEGUNDA PREFERENCIA,,,
,Vote for One: Must be different than your first choice,,,,選一名： 必須與第一個選擇不同,Vote por uno: Tiene que ser diferente a su primera preferencia,,,
,THIRD CHOICE,,,,第三選擇,TERCERA PREFERENCIA,,,
,Vote for One: Must be different than your first and second choices,,,,選一名： 必須與第一個和第二個選擇不同,Vote por uno: Tiene que ser diferente a su primera y segunda preferencias,,,
,,,,,,,,,
,"MEMBER, BOARD OF SUPERVISORS",,,BOARD OF SUPERVISORS D2,市參議員,"MIEMBRO, CONSEJO DE SUPERVISORES",CONSEJO SUPERVISORES,1,
,DISTRICT 2,,,,第2選區,DISTRITO 2,,,
,FIRST CHOICE,,,,第一選擇,PRIMERA PREFERENCIA,,,
,Vote for One,,,,選一名,Vote por uno,,,
,SECOND CHOICE,,,,第二選擇,SEGUNDA PREFERENCIA,,,
,Vote for One: Must be different than your first choice,,,,選一名： 必須與第一個選擇不同,Vote por uno: Tiene que ser diferente a su primera preferencia,,,
,THIRD CHOICE,,,,第三選擇,TERCERA PREFERENCIA,,,
,Vote for One: Must be different than your first and second choices,,,,選一名： 必須與第一個和第二個選擇不同,Vote por uno: Tiene que ser diferente a su primera y segunda preferencias,,,
,,,,,,,,,
,"MEMBER, BOARD OF SUPERVISORS",,,BOARD OF SUPERVISORS D3,市參議員,"MIEMBRO, CONSEJO DE SUPERVISORES",CONSEJO SUPERVISORES,1,
,DISTRICT 3,,,,第3選區,DISTRITO 3,,,
,FIRST CHOICE,,,,第一選擇,PRIMERA PREFERENCIA,,,
,Vote for One,,,,選一名,Vote por uno,,,
,SECOND CHOICE,,,,第二選擇,SEGUNDA PREFERENCIA,,,
,Vote for One: Must be different than your first choice,,,,選一名： 必須與第一個選擇不同,Vote por uno: Tiene que ser diferente a su primera preferencia,,,
,THIRD CHOICE,,,,第三選擇,TERCERA PREFERENCIA,,,
,Vote for One: Must be different than your first and second choices,,,,選一名： 必須與第一個和第二個選擇不同,Vote por uno: Tiene que ser diferente a su primera y segunda preferencias,,,
,,,,,,,,,
,"MEMBER, BOARD OF SUPERVISORS",,,BOARD OF SUPERVISORS D4,市參議員,"MIEMBRO, CONSEJO DE SUPERVISORES",CONSEJO SUPERVISORES,1,
,DISTRICT 4,,,,第4選區,DISTRITO 4,,,
,FIRST CHOICE,,,,第一選擇,PRIMERA PREFERENCIA,,,
,Vote for One,,,,選一名,Vote por uno,,,
,SECOND CHOICE,,,,第二選擇,SEGUNDA PREFERENCIA,,,
,Vote for One: Must be different than your first choice,,,,選一名： 必須與第一個選擇不同,Vote por uno: Tiene que ser diferente a su primera preferencia,,,
,THIRD CHOICE,,,,第三選擇,TERCERA PREFERENCIA,,,
,Vote for One: Must be different than your first and second choices,,,,選一名： 必須與第一個和第二個選擇不同,Vote por uno: Tiene que ser diferente a su primera y segunda preferencias,,,
,,,,,,,,,
,"MEMBER, BOARD OF SUPERVISORS",,,BOARD OF SUPERVISORS D5,市參議員,"MIEMBRO, CONSEJO DE SUPERVISORES",CONSEJO SUPERVISORES,1,
,DISTRICT 5,,,,第5選區,DISTRITO 5,,,
,FIRST CHOICE,,,,第一選擇,PRIMERA PREFERENCIA,,,
,Vote for One,,,,選一名,Vote por uno,,,
,SECOND CHOICE,,,,第二選擇,SEGUNDA PREFERENCIA,,,
,Vote for One: Must be different than your first choice,,,,選一名： 必須與第一個選擇不同,Vote por uno: Tiene que ser diferente a su primera preferencia,,,
,THIRD CHOICE,,,,第三選擇,TERCERA PREFERENCIA,,,
,Vote for One: Must be different than your first and second choices,,,,選一名： 必須與第一個和第二個選擇不同,Vote por uno: Tiene que ser diferente a su primera y segunda preferencias,,,
,,,,,,,,,
,"MEMBER, BOARD OF SUPERVISORS",,,BOARD OF SUPERVISORS D6,市參議員,"MIEMBRO, CONSEJO DE SUPERVISORES",CONSEJO SUPERVISORES,1,
,DISTRICT 6,,,,第6選區,DISTRITO 6,,,
,FIRST CHOICE,,,,第一選擇,PRIMERA PREFERENCIA,,,
,Vote for One,,,,選一名,Vote por uno,,,
,SECOND CHOICE,,,,第二選擇,SEGUNDA PREFERENCIA,,,
,Vote for One: Must be different than your first choice,,,,選一名： 必須與第一個選擇不同,Vote por uno: Tiene que ser diferente a su primera preferencia,,,
,THIRD CHOICE,,,,第三選擇,TERCERA PREFERENCIA,,,
,Vote for One: Must be different than your first and second choices,,,,選一名： 必須與第一個和第二個選擇不同,Vote por uno: Tiene que ser diferente a su primera y segunda preferencias,,,
,,,,,,,,,
,"MEMBER, BOARD OF SUPERVISORS",,,BOARD OF SUPERVISORS D7,市參議員,"MIEMBRO, CONSEJO DE SUPERVISORES",CONSEJO SUPERVISORES,1,
,DISTRICT 7,,,,第7選區,DISTRITO 7,,,
,FIRST CHOICE,,,,第一選擇,PRIMERA PREFERENCIA,,,
,Vote for One,,,,選一名,Vote por uno,,,
,SECOND CHOICE,,,,第二選擇,SEGUNDA PREFERENCIA,,,
,Vote for One: Must be different than your first choice,,,,選一名： 必須與第一個選擇不同,Vote por uno: Tiene que ser diferente a su primera preferencia,,,
,THIRD CHOICE,,,,第三選擇,TERCERA PREFERENCIA,,,
,Vote for One: Must be different than your first and second choices,,,,選一名： 必須與第一個和第二個選擇不同,Vote por uno: Tiene que ser diferente a su primera y segunda preferencias,,,
,,,,,,,,,
,"MEMBER, BOARD OF SUPERVISORS",,,BOARD OF SUPERVISORS D8,市參議員,"MIEMBRO, CONSEJO DE SUPERVISORES",CONSEJO SUPERVISORES,1,
,DISTRICT 8,,,,第8選區,DISTRITO 8,,,
,FIRST CHOICE,,,,第一選擇,PRIMERA PREFERENCIA,,,
,Vote for One,,,,選一名,Vote por uno,,,
,SECOND CHOICE,,,,第二選擇,SEGUNDA PREFERENCIA,,,
,Vote for One: Must be different than your first choice,,,,選一名： 必須與第一個選擇不同,Vote por uno: Tiene que ser diferente a su primera preferencia,,,
,THIRD CHOICE,,,,第三選擇,TERCERA PREFERENCIA,,,
,Vote for One: Must be different than your first and second choices,,,,選一名： 必須與第一個和第二個選擇不同,Vote por uno: Tiene que ser diferente a su primera y segunda preferencias,,,
,,,,,,,,,
,"MEMBER, BOARD OF SUPERVISORS",,,BOARD OF SUPERVISORS D9,市參議員,"MIEMBRO, CONSEJO DE SUPERVISORES",CONSEJO SUPERVISORES,1,
,DISTRICT 9,,,,第9選區,DISTRITO 9,,,
,FIRST CHOICE,,,,第一選擇,PRIMERA PREFERENCIA,,,
,Vote for One,,,,選一名,Vote por uno,,,
,SECOND CHOICE,,,,第二選擇,SEGUNDA PREFERENCIA,,,
,Vote for One: Must be different than your first choice,,,,選一名： 必須與第一個選擇不同,Vote por uno: Tiene que ser diferente a su primera preferencia,,,
,THIRD CHOICE,,,,第三選擇,TERCERA PREFERENCIA,,,
,Vote for One: Must be different than your first and second choices,,,,選一名： 必須與第一個和第二個選擇不同,Vote por uno: Tiene que ser diferente a su primera y segunda preferencias,,,
,,,,,,,,,
,"MEMBER, BOARD OF SUPERVISORS",,,BOARD OF SUPERVISORS D10,市參議員,"MIEMBRO, CONSEJO DE SUPERVISORES",CONSEJO SUPERVISORES,1,
,DISTRICT 10,,,,第10選區,DISTRITO 10,,,
,FIRST CHOICE,,,,第一選擇,PRIMERA PREFERENCIA,,,
,Vote for One,,,,選一名,Vote por uno,,,
,SECOND CHOICE,,,,第二選擇,SEGUNDA PREFERENCIA,,,
,Vote for One: Must be different than your first choice,,,,選一名： 必須與第一個選擇不同,Vote por uno: Tiene que ser diferente a su primera preferencia,,,
,THIRD CHOICE,,,,第三選擇,TERCERA PREFERENCIA,,,
,Vote for One: Must be different than your first and second choices,,,,選一名： 必須與第一個和第二個選擇不同,Vote por uno: Tiene que ser diferente a su primera y segunda preferencias,,,
,,,,,,,,,
,"MEMBER, BOARD OF SUPERVISORS",,,BOARD OF SUPERVISORS D11,市參議員,"MIEMBRO, CONSEJO DE SUPERVISORES",CONSEJO SUPERVISORES,1,
,DISTRICT 11,,,,第11選區,DISTRITO 11,,,
,FIRST CHOICE,,,,第一選擇,PRIMERA PREFERENCIA,,,
,Vote for One,,,,選一名,Vote por uno,,,
,SECOND CHOICE,,,,第二選擇,SEGUNDA PREFERENCIA,,,
,Vote for One: Must be different than your first choice,,,,選一名： 必須與第一個選擇不同,Vote por uno: Tiene que ser diferente a su primera y segunda preferencias,,,
,THIRD CHOICE,,,,第三選擇,TERCERA PREFERENCIA,,,
,Vote for One: Must be different than your first and second choices,,,,選一名： 必須與第一個和第二個選擇不同,Vote por uno: Tiene que ser diferente a su primera y segunda preferencias,,,
,,,,,,,,,
,MEASURES SUBMITTED TO THE VOTERS,,,,提交選民投票表決的提案,INICIATIVAS DE LEY PRESENTADAS A LOS ELECTORES,,,
,STATE PROPOSITIONS,,,,州提案,PROPOSICIONES ESTATALES,,,
,COUNTY TRANSPORTATION AUTHORITY PROPOSITION,,,,縣交通局提案,PROPOSICIÓN DE LA AUTORIDAD DE TRANSPORTE DEL CONDADO,,,
,SCHOOL PROPOSITIONS,,,,學校提案,PROPOSICIONES ESCOLARES,,,
,CITY & COUNTY PROPOSITIONS,,,,市縣提案,PROPOSICIONES DE LA CIUDAD Y EL CONDADO,,,
,PROPOSITION X,,,PROPOSITION X,提案X,PROPOSICIÓN X,PROPOSICIÓN X,,
,,,,,,,,,
,JUDICIAL,,,,司法,JUDICIAL (Omitted on ballot),,,
,Vote YES or NO for each office,,,,為每位選擇「贊成」或「反對」,Vote SÍ o NO por cada cargo,,,
,"FOR CHIEF JUSTICE OF THE SUPREME COURT
Shall Associate Justice, Court of Appeal, District 3, NAME be elected to the office for the term provided by law?
",Katulong na Mahistrado ng Korte Suprema (need rest of the question),,,"最高法院首席大法官
是否應該依法定任期選任上訴法院第三區法官 NAME 為該官職﹖
","PARA JUEZ PRESIDENTE DE LA CORTE SUPREMA
¿Debería (el/la) Juez Asociado (a), Corte de Apelación, Distrito 3, NAME ser elegido (a) al cargo por el término previsto por la ley?
",,,
,"FOR ASSOCIATE JUSTICE OF THE SUPREME COURT
Shall Associate Justice of the Supreme Court, NAME be elected to the office for the
term provided by law?",,,,"最高法院大法官
是否應該依法定任期選任最高法院大法官NAME為該官職﹖
","PARA JUEZ ASOCIADO(A) DE LA CORTE SUPREMA
¿Debería (el/la) Juez Asociado(a) de la Corte Suprema, NAME ser elegido/a al cargo durante el mandato previsto por la ley?",,,
,"FOR PRESIDING JUSTICE COURT OF APPEAL
DISTRICT 1, DIVISION X
Shall Presiding Justice, Court of Appeal, NAME be elected to the office for the term provided by law?","Namamatnugot na Mahistrado, Hukuman ng Paghahabol (need rest of the question)",,,"州上訴法院審判長
第一區，第X分區
是否應該依法定任期選任上訴法院第一區審判長NAME為該官職﹖
","PARA JUEZ PRESIDENTE DE LA CORTE DE APELACIÓN
DISTRITO 1, DIVISIÓN X
¿Debería (el/la) Juez Presidente, Corte de Apelación, NAME ser elegido/a al cargo durante el mandato previsto por la ley?",,,
,"FOR ASSOCIATE JUSTICE COURT OF APPEAL
DISTRICT 1, DIVISION X
Shall Associate Justice, Court of Appeal, NAME be elected to the office for the term provided by law?","Katulong na Mahistrado, Hukuman ng Paghahabol (need rest of the question)",,,"最高法院大法官
是否應該依法定任期選任最高法院大法官NAME為該官職﹖
","PARA JUEZ ASOCIADO(A) DE LA CORTE DE APELACIÓN
DISTRITO 1, DIVISIÓN X
¿Debería (el/la)Juez Asociado(a,) Corte de Apelación, NAME ser elegido/a al cargo durante el mandato previsto por la ley?",,,
